ID,Model,HW code,Vcode,IMSI,IMEI,Version
37,MIRA V2-F4,8817196178714 7206,2034073643,,,
38,MIRA V2-F4,8817196178714 7236,2034073673,,,
39,MIRA V2-F4,8817196178714 7188,2034073625,,,
40,MIRA V2-F4,8817196178714 7201,2034073638,,,
41,MIRA V2-F4,8817196178714 7279,2034073716,,,
42,MIRA V2-F4,8817196178756 1123,2034487560,,,
43,MIRA V2-F4,8817196178714 7208,2034073645,,,
44,MIRA V2-F4,8817196178714 7213,2034073650,,,
45,MIRA V2-F2,8817196178578 5577,2032712014,,,
46,MIRA V2-F2,8817196178714 7148,2034073585,,,
47,MIRA V2-F2,8817196178727 8365,2034204802,,,
48,MIRA,8817196178746 0900,2034387337,452019946272735,869383056017981,3.0
49,MIRA V2-F4,8817196178714 7191,2034073628,,,
50,MIRA V2-F4,8817196178714 7192,2034073629,,,
51,MIRA V2-F4,8817196178714 7224,2034073661,,,
52,MIRA V2-F4,8817196178714 7229,2034073666,,,
53,MIRA V2-F4,8817196178714 7202,2034073639,,,
54,MIRA V2-F4,8817196178714 7159,2034073596,,,
55,MIRA V2-F4,8817196178714 7197,2034073634,,,
56,MIRA V2-F4,8817196178746 1337,2034387774,,,
57,MIRA V2-F4,8817196178714 7281,2034073718,,,
58,MIRA V2-F4,8817196178714 7209,2034073646,,,
59,MIRA V2-F4,8817196178714 7161,2034073598,,,
60,MIRA V2-F4,8817196178714 7194,2034073631,,,
61,MIRA V2-F4,8817196178714 7222,2034073659,,,
62,MIRA V2-F4,8817196178714 7190,2034073627,,,
63,MIRA V2-F4,8817196178714 7199,2034073636,,,
64,MIRA V2-F4,8817196178727 8405,2034204842,,,
65,MIRA V2-F4,8817196178714 7234,2034073671,,,
66,MIRA V2-F4,8817196178714 7193,2034073630,,,
67,MIRA V2-F4,8817196178714 7162,2034073599,,,
68,MIRA V2-F4,8817196178746 0867,2034387304,,,
69,MIRA V2-F4,8817196178670 5468,2033631905,,,
70,MIRA V2-F4,8817196178670 5439,2033631876,,,
71,MIRA V2-F4,8817196178578 6984,2032713421,,,
72,MIRA V2-F4,8817196178727 8223,2034204660,,,
73,MIRA V2-F4,8817196178714 7144,2034073581,,,
74,MIRA V2-F4,8817196178578 6959,2032713396,,,
75,MIRA V2-F4,8817196178727 8705,2034205142,,,  
76,MIRA V2-F4,8817196178714 7145,2034073582,,,
77,MIRA V2-F4,8817196178683 6587,2033763024,,,
78,MIRA V2-F4,8817196178683 7658,2033764095,,,
79,MIRA V2-F4,8817196178670 5409,2033631846,,,
80,MIRA V2-F4,8817196178714 7146,2034073583,,,
81,MIRA V2-F4,8817196178714 7143,2034073580,,,
82,MIRA V2-F4,8817196178714 5089,2034071526,,,
83,MIRA V2-F4,8817196178727 8684,2034205121,,,
84,MIRA V2-F4,8817196178714 7177,2034073614,,,
85,MIRA V2-F4,8817196178714 7151,2034073588,,,
86,MIRA V2-F4,8817196178714 2490,2034068927,,,
87,MIRA V2-F4,8817196178714 7150,2034073587,,,
88,MIRA V2-F4,8817196178714 7147,2034073584,,,
89,MIRA V2-F4,8817196178714 7149,2034073586,,,
90,MIRA V2-F4,8817196178578 6960,2032713397,,,
91,MIRA,8817196178746 0905,3702962682,45201994627 2733,86938305602 6537,3.0
92,SmartPA-ID-V2,8817196178727 8363,2034204800,,,2.0
93,MIRA,8817196178746 2434,3057467967,452019173927520,866804057911479,3.0
94,MIRA,8817196178746 2375,571211992,452019173927583,866804057911693,3.0
95,MIRA,8817196178746 2436,1884441528,452019173927512,866804057911511,3.0
96,MIRA,8817196178746 2392,2274829151,452019173927567,866804057911636,3.0
97,MIRA,8817196178746 2347,2362800065,452019173927600,869383056026677,3.0
98,MIRA,8817196178746 2455,2187754864,452019173927522,866804057911230,3.0
99,MIRA,8817196178746 2269,2622269665,452019173927654,866804057911883,3.0
100,MIRA,8817196178746 2373,1613301669,452019173927576,"452019173927576
",3.0
101,MIRA,8817196178746 2360,2128691465,452019173927487,866804057912196,3.0
102,MIRA,8817196178746 2066,237168615,452019173927480,866804057912055,3.0
103,MIRA,8817196178746 2422,3082428344,452019173927537,866804057912006,3.0
104,MIRA,8817196178746 2432,4095231298,452019173927544,866804057911933,3.0
105,MIRA,8817196178746 2435,2056733345,452019173927501,866804057911727,3.0
106,MIRA,8817196178746 2356,692999238,452019173927488,866804057912147,3.0
107,MIRA,8817196178746 2414,417608998,452019173927547,866804057911834,3.0
108,MIRA,8817196178746 2365,906055533,452019173927586,866804057912097,3.0
109,MIRA,8817196178746 2364,4205531123,452019173927588,866804057911602,3.0
110,MIRA,8817196178746 2425,1855589652,452019173927534,866804057911982,3.0
111,MIRA,8817196178746 2271,3731468188,452019173927661,866804057911263,3.0
112,MIRA,8817196178746 2011,1808514043,452019173927427,866804057914325,3.0
113,MIRA,8817196178746 2272,4163021178,452019173927653,866804057911248,3.0
114,MIRA,8817196178746 2297,2614526842,452019173927646,869383056026651,3.0
115,MIRA,8817196178746 2449,1141470455,452019173927524,866804057911347,3.0
116,MIRA,8817196178746 2282,1776465330,452019173927664,869383056026685,3.0
117,MIRA,8817196178746 2439,4275915867,452019173927511,866804057912121,3.0
118,MIRA,8817196178746 2411,1342454594,452019173927548,866804057911925,3.0
119,MIRA,8817196178746 2452,216627859,452019173927523,866804057911495,3.0
120,MIRA,8817196178746 2317,2589056765,452019173927620,866804057911362,3.0
121,MIRA,8817196178746 2330,3962562255,452019173927492,866804057912204,3.0
122,MIRA,8817196178746 2323,4083219940,452019173927486,866804057911321,3.0
123,MIRA,8817196178746 2285,1663548587,452019173927633,866804057911750,3.0
124,MIRA,8817196178746 2289,1211341007,452019173927655,866804057911594,3.0
125,MIRA, 8817196178746 2284  ,2945301557,452019173927649,866804057911438,3.0
126,MIRA,8817196178746 2295,2388431176,452019173927639,866804057911552,3.0
127,MIRA,8817196178746 2440,670916343,452019173927504,866804057912071,3.0
128,MIRA,8817196178746 2291,169254834,452019173927640,866804057911560,3.0
129,MIRA,8817196178746 2441,3948371561,452019173927518,866804057914176,3.0
130,MIRA,8817196178746 2331,545646161,452019173927491,866804057912022,3.0
131,MIRA,8817196178746 2290,3334250284,452019173927648,866804057911255,3.0
132,MIRA,8817196178746 2413,2523607749,452019173927540,866804057911818,3.0
133,MIRA,8817196178746 2278,1045274877,452019173927651,866804057911297,3.0
134,MIRA,8817196178746 2320,2112879111,452019173927625,866804057911222,3.0
135,MIRA,8817196178746 2446,3784464240,452019173927525,866804057911339,3.0
136,MIRA,8817196178746 2280,734507727,452019173927658,866804057911578,3.0
137,MIRA,8817196178746 2407,128658957,452019173927498,866804057911412,3.0
138,MIRA,8817196178746 2349,1253736006,452019173927550,866804057912030,3.0
139,MIRA,8817196178746 2385,2564307060,452019173927489,866804057912113,3.0
140,MIRA,8817196178746 2343,3682230926,452019173927549,866804057911974,3.0
141,MIRA,8817196178746 2287,553827286,452019173927494,866804057912188,3.0
142,MIRA,8817196178746 2294,1123455446,452019173927647,866804057911610,3.0
143,MIRA,8817196178746 2443,2842843412,452019173927503,866804057912048,3.0
144,MIRA,8817196178746 2311,194101813,452019173927628,866804057911404,3.0
145,MIRA,8817196178746 2447,758667246,45201917392 7516,866804057911537,3.0
146,MIRA,8817196178746 2400,225322772,452019173927499,866804057911396,3.0
147,MIRA,8817196178746 2293,3430520373,452019173927493,866804057912162,3.0
148,MIRA,8817196178746 2353,1638816290,452019173927599,869383056026727,3.0
149,MIRA,8817196178746 2419,4284092892,452019173927538,866804057911966,3.0
150,MIRA,8817196178746 2453,3225647629,452019173927514,866804057911784,3.0
151,MIRA,8817196178746 2381,3016498192,452019173927490,866804057912014,3.0
152,MIRA,8817196178746 2303,1572440829,452019173927644,866804057912063,3.0
153,MIRA,8817196178746 2389,479344270,452019173927568,866804057911529,3.0
154,MIRA,8817196178746 2412,1522610779,452019173927543,866804057911354,3.0
155,MIRA,8817196178746 2433,951207388,452019173927541,866804057911651,3.0
156,MIRA,8817196178746 2454,1322024430,452019173927507,866804057911628,3.0
157,MIRA,8817196178746 2324,4188402941,452019173927485,866804057911842,3.0
158,MIRA,8817196178746 2372,2894268219,452019173927581,866804057911768,3.0
159,MIRA,8817196178746 2450,3397808916,452019173927515,866804057911800,3.0
160,MIRA,8817196178746 2415 ,3561895352,452019173927542,866804057911701,3.0
161,MIRA,8817196178746 2417,3179222689,452019173927535,866804057911990,3.0
162,MIRA,8817196178746 2369,3831695711,452019173927582,866804057911669,3.0
163,MIRA,8817196178746 2395,152577212,452019173927551,866804057911941,3.0
164,MIRA,8817196178746 2309,1236583752,452019173927642,866804057911719,3.0
165,MIRA,8817196178746 2302,2433976931,452019173927631,866804057911453,3.0
166,MIRA,8817196178746 2072,2682452783,452019173927478,866804057911743,
167,MIRA,8817196178746 2346,1082095455,452019173927603,866804057911289,
168,MIRA,8817196178746 2359,2814464933,452019173927482,866804057912139,
169,MIRA,8817196178746 2368,684263873,452019173927585,866804057912170,
170,MIRA,8817196178746 2316,1459347043,452019173927615,869383056026552,
171,MIRA,8817196178746 2358,1802195771,452019173927593,869383056026545,
172,MIRA,8817196178746 2268,1357293695,452019173927662,869383056026719,
173,MIRA,8817196178746 2384,1416771818,452019173927578,869383056026560,
174,MIRA,,,,,
175,MIRA,,,,,
176,MIRA,,,,,
177,MIRA,,,,,
178,MIRA,,,,,
179,MIRA,,,,,
180,MIRA,,,,,
181,MIRA,,,,,
182,MIRA,,,,,
183,,,,,,
184,,,,,,
185,,,,,,
186,,,,,,
187,,,,,,
188,,,,,,
189,,,,,,
190,,,,,,
191,,,,,,
192,,,,,,
193,,,,,,
194,,,,,,
195,,,,,,
196,,,,,,
197,,,,,,
198,,,,,,
199,,,,,,
200,,,,,,
201,,,,,,
202,,,,,,
203,,,,,,
204,,,,,,
205,,,,,,
206,,,,,,
207,,,,,,
208,,,,,,
209,,,,,,
210,,,,,,
211,,,,,,
212,,,,,,
213,,,,,,
214,,,,,,
215,,,,,,
216,,,,,,
217,,,,,,
218,,,,,,
219,,,,,,
220,,,,,,
221,,,,,,
222,,,,,,
223,,,,,,
224,,,,,,
225,,,,,,
226,,,,,,
227,,,,,,
228,,,,,,
229,,,,,,
230,,,,,,
231,,,,,,
232,,,,,,
233,,,,,,
234,,,,,,
235,,,,,,
236,,,,,,
237,,,,,,
238,,,,,,
239,,,,,,
240,,,,,,
241,,,,,,
242,,,,,,
243,,,,,,
244,,,,,,
245,,,,,,
246,,,,,,
247,,,,,,
248,,,,,,
249,,,,,,
250,,,,,,
251,,,,,,
252,,,,,,
253,,,,,,
254,,,,,,
255,,,,,,
256,,,,,,
257,,,,,,
258,,,,,,
259,,,,,,
260,,,,,,
261,,,,,,
262,,,,,,
263,,,,,,
264,,,,,,
265,,,,,,
266,,,,,,
267,,,,,,
268,,,,,,
269,,,,,,
270,,,,,,
271,,,,,,
272,,,,,,
273,,,,,,
274,,,,,,
275,,,,,,
276,,,,,,
277,,,,,,
278,,,,,,
279,,,,,,
280,,,,,,
281,,,,,,
282,,,,,,
283,,,,,,
284,,,,,,
285,,,,,,
286,,,,,,
287,,,,,,
288,,,,,,
289,,,,,,
290,,,,,,
291,,,,,,
292,,,,,,
293,,,,,,
294,,,,,,
295,,,,,,
296,,,,,,
297,,,,,,
298,,,,,,
299,,,,,,
300,,,,,,
301,,,,,,
302,,,,,,
303,,,,,,
304,,,,,,
305,,,,,,
306,,,,,,
307,,,,,,
308,,,,,,
309,,,,,,
310,,,,,,
311,,,,,,
312,,,,,,
313,,,,,,
314,,,,,,
315,,,,,,
316,,,,,,
317,,,,,,
318,,,,,,
319,,,,,,
320,,,,,,
321,,,,,,
322,,,,,,
323,,,,,,
324,,,,,,
325,,,,,,
326,,,,,,
327,,,,,,
328,,,,,,
329,,,,,,
330,,,,,,
331,,,,,,
332,,,,,,
333,,,,,,
334,,,,,,
335,,,,,,
336,,,,,,
337,,,,,,
338,,,,,,
339,,,,,,
340,,,,,,
341,,,,,,
342,,,,,,
343,,,,,,
344,,,,,,
345,,,,,,
346,,,,,,
347,,,,,,
348,,,,,,
349,,,,,,
350,,,,,,
351,,,,,,
352,,,,,,
353,,,,,,
354,,,,,,
355,,,,,,
356,,,,,,
357,,,,,,
358,,,,,,
359,,,,,,
360,,,,,,
361,,,,,,
362,,,,,,
363,,,,,,
364,,,,,,
365,,,,,,
366,,,,,,
367,,,,,,
368,,,,,,
369,,,,,,
370,,,,,,
371,,,,,,
372,,,,,,
373,,,,,,
374,,,,,,
375,,,,,,
376,,,,,,
377,,,,,,
378,,,,,,
379,,,,,,
380,,,,,,
381,,,,,,
382,,,,,,
383,,,,,,
384,,,,,,
385,,,,,,
386,,,,,,
387,,,,,,
388,,,,,,
389,,,,,,
390,,,,,,
391,,,,,,
392,,,,,,
393,,,,,,
394,,,,,,
395,,,,,,
396,,,,,,
397,,,,,,
398,,,,,,
399,,,,,,
400,,,,,,
401,,,,,,
402,,,,,,
403,,,,,,
404,,,,,,
405,,,,,,
406,,,,,,
407,,,,,,
408,,,,,,
409,,,,,,
410,,,,,,
411,,,,,,
412,,,,,,
413,,,,,,
414,,,,,,
415,,,,,,
416,,,,,,
417,,,,,,
418,,,,,,
419,,,,,,
420,,,,,,
421,,,,,,
422,,,,,,
423,,,,,,
424,,,,,,
425,,,,,,
426,,,,,,
427,,,,,,
428,,,,,,
429,,,,,,
430,,,,,,
431,,,,,,
432,,,,,,
433,,,,,,
434,,,,,,
435,,,,,,
436,,,,,,
437,,,,,,
438,,,,,,
439,,,,,,
440,,,,,,
441,,,,,,
442,,,,,,
443,,,,,,
444,,,,,,
445,,,,,,
446,,,,,,
447,,,,,,
448,,,,,,
449,,,,,,
450,,,,,,
451,,,,,,
452,,,,,,
453,,,,,,
454,,,,,,
455,,,,,,
456,,,,,,
457,,,,,,
458,,,,,,
459,,,,,,
460,,,,,,
461,,,,,,
462,,,,,,
463,,,,,,
464,,,,,,
465,,,,,,
466,,,,,,
467,,,,,,
468,,,,,,
469,,,,,,
470,,,,,,
471,,,,,,
472,,,,,,
473,,,,,,
474,,,,,,
475,,,,,,
476,,,,,,
477,,,,,,
478,,,,,,
479,,,,,,
480,,,,,,
481,,,,,,
482,,,,,,
483,,,,,,
484,,,,,,
485,,,,,,
486,,,,,,
487,,,,,,
488,,,,,,
489,,,,,,
490,,,,,,
491,,,,,,
492,,,,,,
493,,,,,,
494,,,,,,
495,,,,,,
496,,,,,,
497,,,,,,
498,,,,,,
499,,,,,,
500,,,,,,
501,,,,,,
502,,,,,,
503,,,,,,
504,,,,,,
505,,,,,,
506,,,,,,
507,,,,,,
508,,,,,,
509,,,,,,
510,,,,,,
511,,,,,,
512,,,,,,
513,,,,,,
514,,,,,,
515,,,,,,
516,,,,,,
517,,,,,,
518,,,,,,
519,,,,,,
520,,,,,,
521,,,,,,
522,,,,,,
523,,,,,,
524,,,,,,
525,,,,,,
526,,,,,,
527,,,,,,
528,,,,,,
529,,,,,,
530,,,,,,
531,,,,,,
532,,,,,,
533,,,,,,
534,,,,,,
535,,,,,,
536,,,,,,
537,,,,,,
538,,,,,,
539,,,,,,
540,,,,,,
541,,,,,,
542,,,,,,
543,,,,,,
544,,,,,,
545,,,,,,
546,,,,,,
547,,,,,,
548,,,,,,
549,,,,,,
550,,,,,,
551,,,,,,
552,,,,,,
553,,,,,,
554,,,,,,
555,,,,,,
556,,,,,,
557,,,,,,
558,,,,,,
559,,,,,,
560,,,,,,
561,,,,,,
562,,,,,,
563,,,,,,
564,,,,,,
565,,,,,,
566,,,,,,
567,,,,,,
568,,,,,,
569,,,,,,
570,,,,,,
571,,,,,,
572,,,,,,
573,,,,,,
574,,,,,,
575,,,,,,
576,,,,,,
577,,,,,,
578,,,,,,
579,,,,,,
580,,,,,,
581,,,,,,
582,,,,,,
583,,,,,,
584,,,,,,
585,,,,,,
586,,,,,,
587,,,,,,
588,,,,,,
589,,,,,,
590,,,,,,
591,,,,,,
592,,,,,,
593,,,,,,
594,,,,,,
595,,,,,,
596,,,,,,
597,,,,,,
598,,,,,,
599,,,,,,
600,,,,,,
601,,,,,,
602,,,,,,
603,,,,,,
604,,,,,,
605,,,,,,
606,,,,,,
607,,,,,,
608,,,,,,
609,,,,,,
610,,,,,,
611,,,,,,
612,,,,,,
613,,,,,,
614,,,,,,
615,,,,,,
616,,,,,,
617,,,,,,
618,,,,,,
619,,,,,,
620,,,,,,
621,,,,,,
622,,,,,,
623,,,,,,
624,,,,,,
625,,,,,,
626,,,,,,
627,,,,,,
628,,,,,,
629,,,,,,
630,,,,,,
631,,,,,,
632,,,,,,
633,,,,,,
634,,,,,,
635,,,,,,
636,,,,,,
637,,,,,,
638,,,,,,
639,,,,,,
640,,,,,,
641,,,,,,
642,,,,,,
643,,,,,,
644,,,,,,
645,,,,,,
646,,,,,,
647,,,,,,
648,,,,,,
649,,,,,,
650,,,,,,
651,,,,,,
652,,,,,,
653,,,,,,
654,,,,,,
655,,,,,,
656,,,,,,
657,,,,,,
658,,,,,,
659,,,,,,
660,,,,,,
661,,,,,,
662,,,,,,
663,,,,,,
664,,,,,,
665,,,,,,
666,,,,,,
667,,,,,,
668,,,,,,
669,,,,,,
670,,,,,,
671,,,,,,
672,,,,,,
673,,,,,,
674,,,,,,
675,,,,,,
676,,,,,,
677,,,,,,
678,,,,,,
679,,,,,,
680,,,,,,
681,,,,,,
682,,,,,,
683,,,,,,
684,,,,,,
685,,,,,,
686,,,,,,
687,,,,,,
688,,,,,,
689,,,,,,
690,,,,,,
691,,,,,,
692,,,,,,
693,,,,,,
694,,,,,,
695,,,,,,
696,,,,,,
697,,,,,,
698,,,,,,
699,,,,,,
700,,,,,,
701,,,,,,
702,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,

